group,group_median,atlas,p_value,significance,y
Generalist,-0.0107063256837528,Czechia,0.478,"",1.73008529602814
Insessorial,-0.0107063256837528,Czechia,0.502,"",1.79773827056677
Terrestrial,-0.0107063256837528,Czechia,0.503,"",6.01644844456939
Aquatic,-0.0107063256837528,Czechia,0.004,**,1.63638091979314
Aerial,-0.0107063256837528,Czechia,0.035,*,6.76757002141264
Generalist,0.0410813467171778,Europe,0.032,*,10.5005277211758
Insessorial,0.0410813467171778,Europe,0.18,"",43.3956759180538
Terrestrial,0.0410813467171778,Europe,0.062,"",43.0891759159777
Aquatic,0.0410813467171778,Europe,0.949,"",1.54776746461748
Aerial,0.0410813467171778,Europe,0.011,*,24.8349433465858
Aerial,0.0121050376784318,New York,0.19,"",3.83987736162048
Generalist,0.0121050376784318,New York,0.269,"",3.62195324064105
Terrestrial,0.0121050376784318,New York,0.367,"",9.33175777394666
Insessorial,0.0121050376784318,New York,0.07,"",2.23222017604611
Aquatic,0.0121050376784318,New York,0.023,*,1.3186618445384
Generalist,0.040343353486712,New Zealand,0.247,"",0.863368794412165
Insessorial,0.040343353486712,New Zealand,0.279,"",2.17727166310047
Terrestrial,0.040343353486712,New Zealand,0.827,"",3.52492063824293
Aquatic,0.040343353486712,New Zealand,0.056,"",3.97821004071861
Aerial,0.040343353486712,New Zealand,0.097,"",1.4890295185667
