group,group_median,atlas,p_value,significance,y
Granivore,,Czechia,0.839,"",0.185554965861519
Vertivore,,Czechia,0.238,"",1.29009944803093
Invertivore,,Czechia,0.607,"",3.74905922324884
Aquatic predator,,Czechia,0,***,6.76757002141264
Omnivore,,Czechia,0.656,"",1.73008529602814
Herbivore aquatic,,Czechia,0.017,*,1.18651109221755
Herbivore terrestrial,,Czechia,0.002,**,2.45232479826891
Granivore,,Europe,0.741,"",1.20250370546232
Vertivore,,Europe,0.004,**,1.99771096420045
Invertivore,,Europe,0.208,"",1.67069499262887
Aquatic predator,,Europe,0.189,"",3.07743022908777
Scavenger,,Europe,0.101,"",0.0824686578275058
Herbivore aquatic,,Europe,0,***,4.95330923235456
Omnivore,,Europe,0.102,"",10.5005277211758
Herbivore terrestrial,,Europe,0.374,"",4.46932805627854
Vertivore,,New York,0.096,"",1.88905059455035
Aquatic predator,,New York,0.015,*,1.70647134644426
Granivore,,New York,0.262,"",0.180750187864255
Omnivore,,New York,0.332,"",3.24447124198483
Invertivore,,New York,0.934,"",2.23222017604611
Herbivore aquatic,,New York,0.617,"",1.3186618445384
Herbivore terrestrial,,New York,0.015,*,1.45876338057138
Granivore,,New Zealand,0.913,"",3.52492063824293
Invertivore,,New Zealand,0.7,"",1.4890295185667
Omnivore,,New Zealand,1,"",2.17727166310047
Aquatic predator,,New Zealand,0.009,**,3.97821004071861
Herbivore aquatic,,New Zealand,0.013,*,0.702641998733235
Nectarivore,,New Zealand,0.622,"",0.18155983496267
Vertivore,,New Zealand,0.378,"",0.395878424171592
