group,group_median,atlas,p_value,significance,y
Generalist,0.00408897874479852,Czechia,0.773,"",6.22
Insessorial,0.00408897874479852,Czechia,0.02,*,5.77
Terrestrial,0.00408897874479852,Czechia,0.284,"",19.8771428571429
Aquatic,0.00408897874479852,Czechia,0,***,17.1866666666667
Aerial,0.00408897874479852,Czechia,0.626,"",14.02
Generalist,0.0584677419354839,Europe,0.022,*,14.02
Insessorial,0.0584677419354839,Europe,0.74,"",6.52
Terrestrial,0.0584677419354839,Europe,0.055,"",5.42909090909091
Aquatic,0.0584677419354839,Europe,0.523,"",3.27
Aerial,0.0584677419354839,Europe,0.131,"",2.85333333333333
Aerial,0.00668647845468053,New York,0.611,"",5.78923076923077
Generalist,0.00668647845468053,New York,0.332,"",9.80571428571429
Terrestrial,0.00668647845468053,New York,0.466,"",8.52
Insessorial,0.00668647845468053,New York,0.035,*,31.02
Aquatic,0.00668647845468053,New York,0,***,5.46444444444444
Generalist,0.45945945945946,New Zealand,0.347,"",31.02
Insessorial,0.45945945945946,New Zealand,0.017,*,3.02
Terrestrial,0.45945945945946,New Zealand,0.373,"",27.02
Aquatic,0.45945945945946,New Zealand,0,***,20.52
Aerial,0.45945945945946,New Zealand,0.981,"",4.02
