group,group_median,atlas,p_value,significance,y
Forest,0.00576249046893362,Czechia,0.002,**,0.124602047670293
Wetland,0.00576249046893362,Czechia,0.004,**,0.216840973835095
Shrubland,0.00576249046893362,Czechia,0.969,"",0.113902387435398
Grassland,0.00576249046893362,Czechia,0.343,"",0.169089815404267
Riverine,0.00576249046893362,Czechia,0.642,"",0.168401463476541
Woodland,0.00576249046893362,Czechia,0.291,"",0.22949701764034
Human Modified,0.00576249046893362,Czechia,0.527,"",0.241271895658167
Rock,0.00576249046893362,Czechia,0.088,"",0.173536064317029
Forest,0.0099047664746604,Europe,0.576,"",0.168506914771333
Wetland,0.0099047664746604,Europe,0.411,"",0.193954726136951
Shrubland,0.0099047664746604,Europe,0.28,"",0.0681546630986588
Grassland,0.0099047664746604,Europe,0.012,*,0.233685811226146
Marine,0.0099047664746604,Europe,0,***,0.231122630427997
Riverine,0.0099047664746604,Europe,0.084,"",0.0991537447339792
Rock,0.0099047664746604,Europe,0.079,"",0.102253520566164
Woodland,0.0099047664746604,Europe,0.945,"",0.0896051581256945
Human Modified,0.0099047664746604,Europe,0.031,*,0.143548519702989
Coastal,0.0099047664746604,Europe,0.132,"",0.0880913275469867
Forest,0.000835450677235616,New Zealand,0.338,"",0.138304499450455
Human Modified,0.000835450677235616,New Zealand,0.298,"",0.180918439493334
Grassland,0.000835450677235616,New Zealand,0.025,*,0.180892455518275
Shrubland,0.000835450677235616,New Zealand,0.685,"",0.0962885124012439
Riverine,0.000835450677235616,New Zealand,0.04,*,0.151159326563128
Wetland,0.000835450677235616,New Zealand,0.185,"",0.13972468244811
Marine,0.000835450677235616,New Zealand,0.018,*,0.156604597404465
Coastal,0.000835450677235616,New Zealand,0.719,"",0.346412217390298
Woodland,0.000835450677235616,New Zealand,0.267,"",0.105433022082394
Woodland,0.00551205076129462,New York,0.413,"",0.0947142849790515
Forest,0.00551205076129462,New York,0.005,**,0.159386659063415
Wetland,0.00551205076129462,New York,0.001,**,0.140666263080414
Grassland,0.00551205076129462,New York,0.036,*,0.198798085499442
Shrubland,0.00551205076129462,New York,0.556,"",0.12774422218408
Human Modified,0.00551205076129462,New York,0.798,"",0.215410233647854
Coastal,0.00551205076129462,New York,0.361,"",0.0816905126518186
Riverine,0.00551205076129462,New York,0.062,"",0.0835482859648367
