group,group_median,atlas,p_value,significance,y
Generalist,0.0114027537172448,Czechia,0.3257,"",0.293721418408397
Insessorial,0.0114027537172448,Czechia,0.0293,*,0.191942139849505
Terrestrial,0.0114027537172448,Czechia,0.474,"",0.355973339840425
Aquatic,0.0114027537172448,Czechia,0.0652,"",0.318450988909398
Aerial,0.0114027537172448,Czechia,0.9246,"",0.258475302801592
Generalist,0.00612441102042419,Europe,0.9469,"",0.220418182306492
Insessorial,0.00612441102042419,Europe,0.0574,"",0.255345251007012
Terrestrial,0.00612441102042419,Europe,0.681,"",0.208781069256232
Aquatic,0.00612441102042419,Europe,0.0216,*,0.218855086418098
Aerial,0.00612441102042419,Europe,0.0196,*,0.135389930736244
Generalist,0.00282446283857507,New Zealand,0.2203,"",0.348045323680052
Insessorial,0.00282446283857507,New Zealand,0.9762,"",0.105934511921479
Terrestrial,0.00282446283857507,New Zealand,0.016,*,0.619758180332252
Aquatic,0.00282446283857507,New Zealand,0.1216,"",0.328201381101664
Aerial,0.00282446283857507,New Zealand,0.9423,"",0.151663981060741
Aerial,0.00620825458208951,New York,0.0931,"",0.175894701502547
Generalist,0.00620825458208951,New York,0.8595,"",0.124081108723742
Terrestrial,0.00620825458208951,New York,0.1308,"",0.216149560714426
Insessorial,0.00620825458208951,New York,0.0178,*,0.405906682556734
Aquatic,0.00620825458208951,New York,0.0024,**,0.331247508322794
