group,group_median,atlas,p_value,significance,y
Passeriformes,-0.0107063256837528,Czechia,0.79,"",3.74905922324884
Accipitriformes,-0.0107063256837528,Czechia,0,***,6.76757002141264
Charadriiformes,-0.0107063256837528,Czechia,0,***,2.84082785161927
Strigiformes,-0.0107063256837528,Czechia,0.008,**,1.29009944803093
Coraciiformes,-0.0107063256837528,Czechia,0.083,"",0.600402772590019
Anseriformes,-0.0107063256837528,Czechia,0.281,"",2.45232479826891
Caprimulgiformes,-0.0107063256837528,Czechia,0.05,"",0.0126038331196465
Pelecaniformes,-0.0107063256837528,Czechia,0.001,**,6.01644844456939
Ciconiiformes,-0.0107063256837528,Czechia,0.469,"",0.172109714656481
Columbiformes,-0.0107063256837528,Czechia,0.537,"",0.401266055052873
Galliformes,-0.0107063256837528,Czechia,0.001,**,0.185554965861519
Gruiformes,-0.0107063256837528,Czechia,0.066,"",0.211860030004201
Cuculiformes,-0.0107063256837528,Czechia,1,"",0.00969207860147974
Piciformes,-0.0107063256837528,Czechia,0.224,"",0.583234610956993
Falconiformes,-0.0107063256837528,Czechia,0.283,"",0.114670776511975
Suliformes,-0.0107063256837528,Czechia,0.021,*,1.14598635974521
Podicipediformes,-0.0107063256837528,Czechia,0.048,*,0.0362305212463509
Bucerotiformes,-0.0107063256837528,Czechia,0.247,"",-0.167915181830579
Passeriformes,0.0403125602595798,Europe,0,***,43.3956759180538
Accipitriformes,0.0403125602595798,Europe,0.016,*,1.99771096420045
Charadriiformes,0.0403125602595798,Europe,0.01,*,26.5388028343423
Strigiformes,0.0403125602595798,Europe,0.914,"",0.726701914698154
Anseriformes,0.0403125602595798,Europe,0.002,**,10.5005277211758
Coraciiformes,0.0403125602595798,Europe,0.444,"",0.603337812500278
Galliformes,0.0403125602595798,Europe,0.24,"",43.0891759159777
Psittaciformes,0.0403125602595798,Europe,0.019,*,2.45702399340065
Gruiformes,0.0403125602595798,Europe,0.644,"",0.784723682107395
Caprimulgiformes,0.0403125602595798,Europe,0.188,"",0.821910480356356
Pelecaniformes,0.0403125602595798,Europe,0,***,4.16258834641662
Procellariiformes,0.0403125602595798,Europe,0.012,*,1.37604535926088
Ciconiiformes,0.0403125602595798,Europe,0.144,"",0.378254177941432
Cuculiformes,0.0403125602595798,Europe,0.793,"",0.142361801314229
Columbiformes,0.0403125602595798,Europe,0.985,"",0.165398318624461
Piciformes,0.0403125602595798,Europe,0.101,"",0.286852285317938
Falconiformes,0.0403125602595798,Europe,0.672,"",0.775161684259132
Gaviiformes,0.0403125602595798,Europe,0.445,"",0.204608418342887
Suliformes,0.0403125602595798,Europe,0.001,**,1.54776746461748
Otidiformes,0.0403125602595798,Europe,0.111,"",-0.138354330402797
Podicipediformes,0.0403125602595798,Europe,0.783,"",0.189832531503097
Pterocliformes,0.0403125602595798,Europe,0.177,"",-0.0319458633513663
Accipitriformes,0.0119097174427577,New York,0.036,*,3.1099833475137
Charadriiformes,0.0119097174427577,New York,0.027,*,9.33175777394666
Strigiformes,0.0119097174427577,New York,0.243,"",3.14377156319282
Passeriformes,0.0119097174427577,New York,0.17,"",3.62195324064105
Anseriformes,0.0119097174427577,New York,0,***,2.68226648144924
Caprimulgiformes,0.0119097174427577,New York,0.17,"",3.83987736162048
Pelecaniformes,0.0119097174427577,New York,0.03,*,3.38400908813328
Galliformes,0.0119097174427577,New York,0.211,"",7.81897694607472
Cuculiformes,0.0119097174427577,New York,0.507,"",0.16249014177956
Piciformes,0.0119097174427577,New York,0.676,"",1.34746026348095
Columbiformes,0.0119097174427577,New York,0.895,"",0.0689289802355473
Falconiformes,0.0119097174427577,New York,0.021,*,1.88905059455035
Gruiformes,0.0119097174427577,New York,0.889,"",1.10282151871125
Passeriformes,0.0393453062497871,New Zealand,0.631,"",1.4890295185667
Charadriiformes,0.0393453062497871,New Zealand,0.008,**,1.25063006683979
Galliformes,0.0393453062497871,New Zealand,0.968,"",1.58364374616005
Anseriformes,0.0393453062497871,New Zealand,0.007,**,1.69781494368883
Pelecaniformes,0.0393453062497871,New Zealand,0.918,"",2.29356253784271
Procellariiformes,0.0393453062497871,New Zealand,0,***,1.04977971339812
Strigiformes,0.0393453062497871,New Zealand,0.451,"",0.0454021246118142
Psittaciformes,0.0393453062497871,New Zealand,0.306,"",2.17727166310047
Columbiformes,0.0393453062497871,New Zealand,0.005,**,3.52492063824293
Coraciiformes,0.0393453062497871,New Zealand,0.511,"",0.291850205346378
Sphenisciformes,0.0393453062497871,New Zealand,0.793,"",3.97821004071861
Falconiformes,0.0393453062497871,New Zealand,0.054,"",0.816505848470411
Gruiformes,0.0393453062497871,New Zealand,0.787,"",0.702641998733235
Suliformes,0.0393453062497871,New Zealand,0.052,"",0.554005727567883
Podicipediformes,0.0393453062497871,New Zealand,0.004,**,1.36065156255395
