group,group_median,atlas,p_value,significance,y
Generalist,-0.0021248474255545,Czechia,0.689,"",0.230688259067539
Insessorial,-0.0021248474255545,Czechia,0.133,"",0.194675015141369
Terrestrial,-0.0021248474255545,Czechia,0.052,"",0.252032224548313
Aquatic,-0.0021248474255545,Czechia,0.656,"",0.0840241065044434
Aerial,-0.0021248474255545,Czechia,0.2,"",0.273620205963894
Generalist,0.00359428942162221,Europe,0.21,"",0.130231351355992
Insessorial,0.00359428942162221,Europe,0.02,*,0.159765135343963
Terrestrial,0.00359428942162221,Europe,0.656,"",0.329993124431496
Aquatic,0.00359428942162221,Europe,0.725,"",0.275473272835592
Aerial,0.00359428942162221,Europe,0.295,"",0.108189835405825
Generalist,0.0140552199138188,New Zealand,0.705,"",0.14612306611152
Insessorial,0.0140552199138188,New Zealand,0.341,"",0.119819664246969
Terrestrial,0.0140552199138188,New Zealand,0.853,"",0.558855055569706
Aquatic,0.0140552199138188,New Zealand,0.36,"",0.102314576011707
Aerial,0.0140552199138188,New Zealand,0.656,"",0.098725576002375
Aerial,0.00245047684182417,New York,0,***,0.291724647192422
Generalist,0.00245047684182417,New York,0.388,"",0.119971138063473
Terrestrial,0.00245047684182417,New York,0.028,*,0.268214876762014
Insessorial,0.00245047684182417,New York,0.09,"",0.137917900789873
Aquatic,0.00245047684182417,New York,0.017,*,0.106714594042802
