group,group_median,atlas,p_value,significance,y
Passeriformes,0.0115853400591622,Czechia,0.016,*,0.258475302801592
Accipitriformes,0.0115853400591622,Czechia,0.123,"",0.246782580254416
Charadriiformes,0.0115853400591622,Czechia,0.032,*,0.355973339840425
Strigiformes,0.0115853400591622,Czechia,0.402,"",0.124596837182044
Anseriformes,0.0115853400591622,Czechia,0.056,"",0.175363604378461
Pelecaniformes,0.0115853400591622,Czechia,0.532,"",0.240074282990387
Columbiformes,0.0115853400591622,Czechia,0.865,"",0.117848352092811
Galliformes,0.0115853400591622,Czechia,0.754,"",0.0500867520498886
Gruiformes,0.0115853400591622,Czechia,0.631,"",0.096649944954545
Piciformes,0.0115853400591622,Czechia,0.132,"",0.0746084189108738
Falconiformes,0.0115853400591622,Czechia,0.223,"",0.152752200528478
Podicipediformes,0.0115853400591622,Czechia,0.748,"",0.318450988909398
Passeriformes,0.00608045040207295,Europe,0.027,*,0.220418182306492
Accipitriformes,0.00608045040207295,Europe,0.167,"",0.216109046268291
Charadriiformes,0.00608045040207295,Europe,0,***,0.218855086418098
Strigiformes,0.00608045040207295,Europe,0.659,"",0.118720569182934
Anseriformes,0.00608045040207295,Europe,0.658,"",0.176336236583073
Coraciiformes,0.00608045040207295,Europe,0.847,"",0.080981039603869
Galliformes,0.00608045040207295,Europe,0.047,*,0.093203670636717
Gruiformes,0.00608045040207295,Europe,0.413,"",0.166119565009134
Caprimulgiformes,0.00608045040207295,Europe,0.463,"",0.0535601804355265
Pelecaniformes,0.00608045040207295,Europe,0.649,"",0.0703672634268408
Procellariiformes,0.00608045040207295,Europe,0.013,*,0.0366633668022287
Cuculiformes,0.00608045040207295,Europe,0.687,"",0.255345251007012
Columbiformes,0.00608045040207295,Europe,0.346,"",0.0680478731122408
Piciformes,0.00608045040207295,Europe,0.862,"",0.0474774364426046
Falconiformes,0.00608045040207295,Europe,0.14,"",0.0498653458775698
Gaviiformes,0.00608045040207295,Europe,0.555,"",0.100484414012233
Suliformes,0.00608045040207295,Europe,0.536,"",0.0530398532740829
Podicipediformes,0.00608045040207295,Europe,0.846,"",0.0380222111055673
Passeriformes,0.00298028189930281,New Zealand,0.827,"",0.161603369582043
Charadriiformes,0.00298028189930281,New Zealand,0.056,"",0.590753483646522
Galliformes,0.00298028189930281,New Zealand,0.373,"",0.575633097019186
Anseriformes,0.00298028189930281,New Zealand,0.96,"",0.168502002904291
Pelecaniformes,0.00298028189930281,New Zealand,0.148,"",0.0852637561254679
Procellariiformes,0.00298028189930281,New Zealand,0.128,"",0.328201381101664
Psittaciformes,0.00298028189930281,New Zealand,0.324,"",0.0701165520515831
Columbiformes,0.00298028189930281,New Zealand,0.01,*,0.619758180332252
Sphenisciformes,0.00298028189930281,New Zealand,0.411,"",0.126778954169368
Gruiformes,0.00298028189930281,New Zealand,0.81,"",0.0601221016382948
Suliformes,0.00298028189930281,New Zealand,0.455,"",0.0414085634762643
Podicipediformes,0.00298028189930281,New Zealand,0.962,"",0.14504906087087
Accipitriformes,0.0061089803634477,New York,0.093,"",0.140148002183123
Charadriiformes,0.0061089803634477,New York,0.367,"",0.140360891072269
Strigiformes,0.0061089803634477,New York,0.887,"",0.165033036638262
Passeriformes,0.0061089803634477,New York,0.236,"",0.405906682556734
Anseriformes,0.0061089803634477,New York,0,***,0.331247508322794
Caprimulgiformes,0.0061089803634477,New York,0.045,*,0.0334300440579817
Pelecaniformes,0.0061089803634477,New York,0.607,"",0.0701227464010702
Galliformes,0.0061089803634477,New York,0.764,"",0.107942304485592
Piciformes,0.0061089803634477,New York,0.358,"",0.0540912633370349
Gruiformes,0.0061089803634477,New York,0.13,"",0.0638398655481696
