V1,V2,N,status_T1,status_T2,change_status,sum_per_start,prop_per_trans
aggregated-->aggregated,Czechia,5261,aggregated,aggregated,FALSE,7715,0.681918340894362
aggregated-->neutral,Czechia,1229,aggregated,neutral,TRUE,7715,0.159300064808814
aggregated-->segregated,Czechia,1225,aggregated,segregated,TRUE,7715,0.158781594296824
neutral-->aggregated,Czechia,1347,neutral,aggregated,TRUE,3121,0.431592438321051
neutral-->neutral,Czechia,848,neutral,neutral,FALSE,3121,0.271707785966037
neutral-->segregated,Czechia,926,neutral,segregated,TRUE,3121,0.296699775712913
segregated-->aggregated,Czechia,1034,segregated,aggregated,TRUE,4522,0.228659885006634
segregated-->neutral,Czechia,938,segregated,neutral,TRUE,4522,0.207430340557276
segregated-->segregated,Czechia,2550,segregated,segregated,FALSE,4522,0.56390977443609
aggregated-->aggregated,Europe,32143,aggregated,aggregated,FALSE,36196,0.888026301248757
aggregated-->neutral,Europe,1633,aggregated,neutral,TRUE,36196,0.045115482373743
aggregated-->segregated,Europe,2420,aggregated,segregated,TRUE,36196,0.0668582163775003
neutral-->aggregated,Europe,1743,neutral,aggregated,TRUE,4042,0.431222167243939
neutral-->neutral,Europe,672,neutral,neutral,FALSE,4042,0.166254329539832
neutral-->segregated,Europe,1627,neutral,segregated,TRUE,4042,0.40252350321623
segregated-->aggregated,Europe,2580,segregated,aggregated,TRUE,27943,0.0923308163046201
segregated-->neutral,Europe,1563,segregated,neutral,TRUE,27943,0.0559352968543106
segregated-->segregated,Europe,23800,segregated,segregated,FALSE,27943,0.851733886841069
aggregated-->aggregated,New York,7739,aggregated,aggregated,FALSE,9164,0.844500218245308
aggregated-->neutral,New York,746,aggregated,neutral,TRUE,9164,0.0814054997817547
aggregated-->segregated,New York,679,aggregated,segregated,TRUE,9164,0.0740942819729376
neutral-->aggregated,New York,732,neutral,aggregated,TRUE,1718,0.426076833527357
neutral-->neutral,New York,409,neutral,neutral,FALSE,1718,0.238067520372526
neutral-->segregated,New York,577,neutral,segregated,TRUE,1718,0.335855646100116
segregated-->aggregated,New York,703,segregated,aggregated,TRUE,6975,0.10078853046595
segregated-->neutral,New York,632,segregated,neutral,TRUE,6975,0.0906093189964158
segregated-->segregated,New York,5640,segregated,segregated,FALSE,6975,0.808602150537634
aggregated-->aggregated,New Zealand,6319,aggregated,aggregated,FALSE,7156,0.883035215204025
aggregated-->neutral,New Zealand,418,aggregated,neutral,TRUE,7156,0.058412520961431
aggregated-->segregated,New Zealand,419,aggregated,segregated,TRUE,7156,0.0585522638345444
neutral-->aggregated,New Zealand,405,neutral,aggregated,TRUE,843,0.480427046263345
neutral-->neutral,New Zealand,216,neutral,neutral,FALSE,843,0.256227758007117
neutral-->segregated,New Zealand,222,neutral,segregated,TRUE,843,0.263345195729537
segregated-->aggregated,New Zealand,536,segregated,aggregated,TRUE,2408,0.222591362126246
segregated-->neutral,New Zealand,300,segregated,neutral,TRUE,2408,0.124584717607973
segregated-->segregated,New Zealand,1572,segregated,segregated,FALSE,2408,0.652823920265781
